Pitch Bend,
Aftertouch,
0,Bank Select
1,Modulation
2,Breath Controller
3,Undefined
4,Foot Controller
5,Portamento Time
6,Data Entry MSB
7,Volume
8,Balance
9,Undefined
10,Pan
11,Expression
12,Effect Control 1
13,Effect Control 2
14,Undefined
15,Undefined
16,General Purpose 1
17,General Purpose 2
18,General Purpose 3
19,General Purpose 4
20,Undefined
21,Undefined
22,Undefined
23,Undefined
24,Undefined
25,Undefined
26,Undefined
27,Undefined
28,Undefined
29,Undefined
30,Undefined
31,Undefined
32,LSB for Controllers 0
33,LSB for Controllers 1
34,LSB for Controllers 2
35,LSB for Controllers 3
36,LSB for Controllers 4
37,LSB for Controllers 5
38,LSB for Controllers 6
39,LSB for Controllers 7
40,LSB for Controllers 8
41,LSB for Controllers 9
42,LSB for Controllers 10
43,LSB for Controllers 11
44,LSB for Controllers 12
45,LSB for Controllers 13
46,LSB for Controllers 14
47,LSB for Controllers 15
48,LSB for Controllers 16
49,LSB for Controllers 17
50,LSB for Controllers 18
51,LSB for Controllers 19
52,LSB for Controllers 20
53,LSB for Controllers 21
54,LSB for Controllers 22
55,LSB for Controllers 23
56,LSB for Controllers 24
57,LSB for Controllers 25
58,LSB for Controllers 26
59,LSB for Controllers 27
60,LSB for Controllers 28
61,LSB for Controllers 29
62,LSB for Controllers 30
63,LSB for Controllers 31
64,Damper Pedal / Sustain Pedal
65,Portamento
66,Sostenuto
67,Soft Pedal
68,Legato Footswitch
69,Hold 2
70,Sound Controller 1 (Sound Variation)
71,Sound Controller 2 (Timer/Harmonic Content)
72,Sound Controller 3 (Release Time)
73,Sound Controller 4 (Attack Time)
74,Sound Controller 5 (Brightness)
75,Sound Controller 6
76,Sound Controller 7
77,Sound Controller 8
78,Sound Controller 9
79,Sound Controller 10
80,General Purpose 5
81,General Purpose 6
82,General Purpose 7
83,General Purpose 8
84,Portamento Control
85,Undefined
86,Undefined
87,Undefined
88,Undefined
89,Undefined
90,Undefined
91,Effects 1 Depth (External Effects Depth)
92,Effects 2 Depth (Tremolo Depth)
93,Effects 3 Depth (Chorus Depth)
94,Effects 4 Depth (Detune Depth)
95,Effects 5 Depth (Phaser Depth)
96,Data Increment
97,Data Decrement
98,Non-Registered Parameter Number LSB
99,Non-Registered Parameter Number LSB
100,Registered Parameter Number LSB
101,Registered Parameter Number LSB
102,Undefined
103,Undefined
104,Undefined
105,Undefined
106,Undefined
107,Undefined
108,Undefined
109,Undefined
110,Undefined
111,Undefined
112,Undefined
113,Undefined
114,Undefined
115,Undefined
116,Undefined
117,Undefined
118,Undefined
119,Undefined
120,Undefined
121,Reset All Controllers
122,Local Control
123,All Notes Off
124,Omni Off
125,Omni On
126,Mono On
127,Poly On